region,operation_type,served_users_last180sec,unserved_users_last180sec,serving_instances,pending_instances,idle_instances,serving_instances_with_unserved_users,predicted_instances,tobe_terminated_linked,tobe_terminated_ready,tobe_terminated_pending,starting_initializing,default_min_pool,hard_limit,enqueued_instance_count,arm_count_per_gpu,stopped_instance_limit,created_at,launch_or_terminate_count
us-east-1,TERMINATE,49,0,657,0,3531,657,767,0,0,0,0,40,10000,12,12,0,2022-05-10 05:24:32.321056,3420
us-east-1,TERMINATE,58,0,639,0,3195,639,746,0,0,0,0,40,10000,12,12,0,2022-05-10 05:29:13.295607,3084
us-east-1,TERMINATE,48,0,620,0,2824,620,723,0,0,0,0,40,10000,12,12,0,2022-05-10 05:32:16.575371,2712
us-east-1,TERMINATE,43,0,591,0,2458,591,688,0,0,0,0,40,10000,12,12,0,2022-05-10 05:35:15.175259,2352
us-east-1,TERMINATE,37,0,578,0,2077,578,674,0,0,0,0,40,10000,12,12,0,2022-05-10 05:38:17.390862,1980
us-east-1,TERMINATE,48,0,566,0,1693,566,660,0,0,0,0,40,10000,12,12,0,2022-05-10 05:41:11.354654,1596
us-east-1,TERMINATE,39,0,551,0,1328,551,644,0,0,0,0,40,10000,12,12,0,2022-05-10 05:44:09.536239,1224
us-east-1,TERMINATE,51,0,540,0,992,540,631,0,0,0,0,40,10000,12,12,0,2022-05-10 05:47:13.360436,900
us-east-1,TERMINATE,37,0,521,0,657,521,609,0,0,0,0,40,10000,12,12,0,2022-05-10 05:50:11.128600,564
us-east-1,TERMINATE,60,0,507,0,318,507,593,0,0,0,0,40,10000,12,12,0,2022-05-10 05:53:08.007005,228
us-east-1,TERMINATE,59,0,472,0,156,472,551,1,0,0,0,40,10000,12,12,0,2022-05-10 05:56:00.974426,72
us-east-1,TERMINATE,55,0,447,0,114,447,523,9,0,0,0,40,10000,12,12,0,2022-05-10 05:59:00.771293,36
us-east-1,TERMINATE,46,0,439,0,87,439,513,1,0,0,0,40,10000,12,12,0,2022-05-10 06:02:01.100825,12
us-east-1,TERMINATE,50,0,423,0,91,423,496,0,0,0,0,40,10000,12,12,0,2022-05-10 06:05:01.845878,12
us-east-1,NO_ACTION_REQUIRED,45,0,432,0,70,432,507,0,0,0,0,40,10000,12,12,0,2022-05-10 06:07:59.141091,0
us-east-1,NO_ACTION_REQUIRED,37,0,422,0,80,422,495,0,0,0,0,40,10000,12,12,0,2022-05-10 06:10:56.885845,0
us-east-1,NO_ACTION_REQUIRED,44,0,419,0,83,419,492,0,0,0,0,40,10000,12,12,0,2022-05-10 06:13:58.804006,0
us-east-1,NO_ACTION_REQUIRED,46,0,423,0,79,423,495,0,0,0,0,40,10000,12,12,0,2022-05-10 06:17:05.895399,0
us-east-1,TERMINATE,35,0,415,0,87,415,485,0,0,0,0,40,10000,12,12,0,2022-05-10 06:20:01.281148,12
us-east-1,TERMINATE,37,0,402,0,92,402,470,2,0,0,0,40,10000,12,12,0,2022-05-10 06:23:02.115826,24
us-east-1,TERMINATE,42,0,393,0,80,393,459,14,0,0,0,40,10000,12,12,0,2022-05-10 06:26:02.594225,12
us-east-1,TERMINATE,35,0,384,0,78,384,449,13,1,0,0,40,10000,12,12,0,2022-05-10 06:29:00.833810,12
us-east-1,NO_ACTION_REQUIRED,47,0,383,0,67,383,448,14,2,0,0,40,10000,12,12,0,2022-05-10 06:32:02.396339,0
us-east-1,NO_ACTION_REQUIRED,47,0,382,0,68,382,447,12,2,0,0,40,10000,12,12,0,2022-05-10 06:35:02.445256,0
us-east-1,NO_ACTION_REQUIRED,32,0,384,0,66,384,450,12,1,0,0,40,10000,12,12,0,2022-05-10 06:37:58.620124,0
us-east-1,NO_ACTION_REQUIRED,30,0,380,0,70,380,445,7,5,0,0,40,10000,12,12,0,2022-05-10 06:40:59.038659,0
us-east-1,TERMINATE,33,0,367,0,82,367,430,7,3,0,0,40,10000,12,12,0,2022-05-10 06:44:00.075913,12
us-east-1,TERMINATE,31,0,358,0,79,358,419,6,0,0,0,40,10000,12,12,0,2022-05-10 06:47:02.388996,12
us-east-1,TERMINATE,39,0,345,0,81,345,404,8,0,0,0,40,10000,12,12,0,2022-05-10 06:50:03.790375,12
us-east-1,TERMINATE,47,0,337,0,79,337,395,7,1,0,0,40,10000,12,12,0,2022-05-10 06:53:00.413767,12
us-east-1,TERMINATE,32,0,324,0,82,324,380,8,0,0,0,40,10000,12,12,0,2022-05-10 06:56:07.218649,24
us-east-1,NO_ACTION_REQUIRED,39,0,321,0,63,321,377,12,1,0,0,40,10000,12,12,0,2022-05-10 06:58:57.952076,0
us-east-1,NO_ACTION_REQUIRED,40,0,324,0,60,324,380,12,1,0,0,40,10000,12,12,0,2022-05-10 07:02:00.253863,0
us-east-1,TERMINATE,30,0,302,0,81,302,356,11,2,0,0,40,10000,12,12,0,2022-05-10 07:05:05.011943,24
us-east-1,TERMINATE,43,0,292,0,66,292,345,11,1,0,0,40,10000,12,12,0,2022-05-10 07:08:11.022458,12
us-east-1,TERMINATE,35,0,282,0,67,282,332,8,3,0,0,40,10000,12,12,0,2022-05-10 07:11:07.598944,12
us-east-1,NO_ACTION_REQUIRED,38,0,283,0,55,283,334,9,2,0,0,40,10000,12,12,0,2022-05-10 07:14:02.176911,0
us-east-1,NO_ACTION_REQUIRED,32,0,277,0,61,277,327,9,1,0,0,40,10000,12,12,0,2022-05-10 07:17:02.913275,0
us-east-1,TERMINATE,30,0,271,0,67,271,320,8,1,0,0,40,10000,12,12,0,2022-05-10 07:20:04.609627,12
us-east-1,NO_ACTION_REQUIRED,33,0,268,0,58,268,316,14,2,0,0,40,10000,12,12,0,2022-05-10 07:23:03.596169,0
us-east-1,NO_ACTION_REQUIRED,39,0,270,0,56,270,318,12,2,0,0,40,10000,12,12,0,2022-05-10 07:26:06.812793,0
us-east-1,NO_ACTION_REQUIRED,28,0,270,0,56,270,318,11,2,0,0,40,10000,12,12,0,2022-05-10 07:29:05.303940,0
us-east-1,TERMINATE,25,0,261,0,65,261,308,10,0,0,0,40,10000,12,12,0,2022-05-10 07:32:06.693058,12
us-east-1,TERMINATE,26,0,252,0,63,252,298,12,0,0,0,40,10000,12,12,0,2022-05-10 07:35:02.804939,12
us-east-1,TERMINATE,35,0,245,0,58,245,289,14,1,0,0,40,10000,12,12,0,2022-05-10 07:38:02.422440,12
