,Predicted,Original,Difference
0,3978.2593,3867,-111.25927734375
1,3985.7825,3931,-54.782470703125
2,3887.5034,3810,-77.50341796875
3,3852.5286,3868,15.471435546875
4,3897.4998,3873,-24.499755859375
5,3830.7004,3878,47.299560546875
6,3850.2666,3917,66.7333984375
7,3860.1077,3924,63.892333984375
8,3866.9102,3951,84.08984375
9,3906.6711,3955,48.328857421875
10,3927.169,3940,12.8310546875
11,3967.0515,3932,-35.051513671875
12,3973.523,3994,20.47705078125
13,3969.1165,3953,-16.116455078125
14,3969.8342,3982,12.165771484375
15,4000.6287,3984,-16.628662109375
16,3987.36,3991,3.639892578125
17,4001.3086,4019,17.69140625
18,4006.9983,4045,38.001708984375
19,4007.8997,4030,22.100341796875
20,4027.8674,4010,-17.867431640625
21,4052.7312,4031,-21.731201171875
22,4056.0037,3990,-66.003662109375
23,4041.1873,3946,-95.187255859375
24,4042.8818,3941,-101.8818359375
25,4018.7183,3980,-38.71826171875
26,3977.1655,3916,-61.16552734375
27,3961.7114,3866,-95.71142578125
28,3976.938,3888,-88.93798828125
29,3936.3499,3876,-60.349853515625
30,3888.819,3871,-17.819091796875
31,3889.4553,3804,-85.455322265625
32,3873.2097,3824,-49.209716796875
33,3866.672,3810,-56.672119140625
34,3829.9128,3839,9.087158203125
35,3827.957,3740,-87.95703125
36,3811.6868,3745,-66.686767578125
37,3823.6353,3769,-54.63525390625
38,3776.9106,3703,-73.91064453125
39,3757.324,3708,-49.323974609375
40,3764.1594,3758,-6.159423828125
41,3714.493,3769,54.507080078125
42,3713.6355,3762,48.364501953125
43,3750.8306,3780,29.16943359375
44,3765.5476,3782,16.452392578125
45,3769.8826,3813,43.117431640625
46,3790.8347,3794,3.165283203125
47,3802.014,3778,-24.013916015625
48,3820.5186,3772,-48.5185546875
49,3820.066,3780,-40.06591796875
50,3813.111,3773,-40.111083984375
51,3803.3772,3783,-20.377197265625
52,3797.9622,3807,9.037841796875
53,3793.8171,3798,4.182861328125
54,3799.5208,3720,-79.520751953125
55,3819.325,3790,-29.324951171875
56,3817.3228,3762,-55.32275390625
57,3762.2744,3732,-30.2744140625
58,3793.672,3766,-27.672119140625
59,3782.812,3749,-33.81201171875
60,3753.7317,3779,25.268310546875
61,3778.9475,3777,-1.947509765625
62,3766.4407,3725,-41.440673828125
63,3782.839,3713,-69.839111328125
64,3788.778,3722,-66.778076171875
65,3759.7654,3691,-68.765380859375
66,3741.2493,3701,-40.249267578125
67,3731.7234,3723,-8.723388671875
68,3709.1006,3724,14.8994140625
69,3710.5247,3726,15.475341796875
70,3726.2446,3734,7.75537109375
71,3729.5237,3749,19.476318359375
72,3733.1912,3768,34.808837890625
73,3743.528,3773,29.471923828125
74,3759.1501,3790,30.849853515625
75,3776.0667,3807,30.933349609375
76,3788.65,3794,5.35009765625
77,3807.3704,3760,-47.370361328125
78,3824.1724,3748,-76.17236328125
79,3820.9482,3750,-70.9482421875
80,3798.273,3715,-83.27294921875
81,3780.439,3754,-26.43896484375
82,3771.2295,3768,-3.2294921875
83,3740.4546,3740,-0.45458984375
84,3758.7822,3696,-62.7822265625
85,3774.5183,3749,-25.518310546875
86,3757.4094,3748,-9.409423828125
87,3724.7231,3738,13.27685546875
88,3749.0142,3736,-13.01416015625
89,3756.4985,3719,-37.49853515625
90,3750.6807,3730,-20.6806640625
91,3757.8682,3767,9.1318359375
92,3742.295,3763,20.705078125
93,3740.1736,3773,32.826416015625
94,3765.9119,3738,-27.911865234375
95,3778.2737,3762,-16.273681640625
96,3790.2925,3770,-20.29248046875
97,3768.9417,3754,-14.941650390625
98,3775.9758,3742,-33.975830078125
99,3784.4514,3780,-4.451416015625
100,3775.9333,3750,-25.933349609375
101,3770.2383,3724,-46.23828125
102,3788.6313,3749,-39.63134765625
103,3773.1555,3753,-20.155517578125
104,3748.8623,3718,-30.8623046875
105,3762.992,3702,-60.991943359375
106,3765.2605,3717,-48.260498046875
107,3740.545,3729,-11.544921875
108,3725.3289,3718,-7.328857421875
109,3728.1218,3668,-60.121826171875
110,3732.4802,3681,-51.480224609375
111,3727.5312,3632,-95.53125
112,3697.4832,3674,-23.483154296875
113,3692.965,3589,-103.965087890625
114,3649.8142,3572,-77.814208984375
115,3663.5054,3621,-42.50537109375
116,3615.1606,3574,-41.16064453125
117,3579.2158,3518,-61.2158203125
118,3605.5864,3507,-98.58642578125
119,3564.3574,3473,-91.357421875
120,3523.3606,3485,-38.360595703125
121,3505.413,3517,11.5869140625
122,3461.1787,3460,-1.1787109375
123,3451.0193,3469,17.980712890625
124,3478.4653,3489,10.53466796875
125,3450.4104,3493,42.589599609375
126,3448.381,3507,58.618896484375
127,3459.1743,3542,82.82568359375
128,3467.0017,3534,66.998291015625
129,3488.985,3526,37.014892578125
130,3524.3108,3530,5.689208984375
131,3538.7603,3503,-35.76025390625
132,3530.4316,3511,-19.431640625
133,3530.3923,3516,-14.392333984375
134,3520.2607,3482,-38.2607421875
135,3513.4553,3500,-13.455322265625
136,3510.812,3490,-20.81201171875
137,3485.5996,3467,-18.599609375
138,3486.578,3551,64.422119140625
139,3477.8013,3538,60.19873046875
140,3457.9285,3514,56.071533203125
141,3513.8684,3491,-22.868408203125
142,3527.152,3533,5.847900390625
143,3516.3462,3492,-24.34619140625
144,3498.4153,3520,21.584716796875
145,3520.0679,3477,-43.06787109375
146,3501.7217,3512,10.2783203125
147,3503.9639,3512,8.0361328125
148,3487.6013,3515,27.398681640625
149,3498.2053,3501,2.794677734375
150,3495.5176,3497,1.482421875
151,3498.6008,3501,2.399169921875
152,3499.8594,3449,-50.859375
153,3492.88,3455,-37.8798828125
154,3491.0684,3482,-9.068359375
155,3454.6738,3395,-59.673828125
156,3442.5054,3357,-85.50537109375
157,3464.3584,3396,-68.3583984375
158,3399.4558,3426,26.544189453125
159,3350.6216,3390,39.37841796875
160,3364.5217,3405,40.478271484375
161,3383.4653,3382,-1.46533203125
162,3367.454,3401,33.5458984375
163,3380.5671,3378,-2.567138671875
164,3374.852,3343,-31.85205078125
165,3376.7585,3350,-26.758544921875
166,3364.3835,3382,17.616455078125
167,3348.0571,3339,-9.05712890625
168,3348.3196,3346,-2.319580078125
169,3356.1309,3329,-27.130859375
170,3329.3035,3363,33.696533203125
171,3330.9817,3330,-0.981689453125
172,3319.3745,3337,17.62548828125
173,3338.4275,3184,-154.427490234375
174,3321.5703,3172,-149.5703125
175,3324.8794,3198,-126.87939453125
176,3222.9,3186,-36.89990234375
177,3160.8916,3168,7.1083984375
178,3159.7673,3162,2.232666015625
179,3142.235,3115,-27.235107421875
180,3133.4736,3129,-4.4736328125
181,3130.6343,3151,20.36572265625
182,3088.2004,3075,-13.200439453125
183,3083.8716,3059,-24.87158203125
184,3105.8196,2991,-114.819580078125
185,3080.2666,3022,-58.2666015625
186,3053.2449,2964,-89.244873046875
187,2988.423,2995,6.576904296875
188,2981.3162,2992,10.683837890625
189,2943.6252,2988,44.374755859375
190,2950.6682,2937,-13.668212890625
191,2961.9377,2960,-1.937744140625
192,2948.898,2954,5.10205078125
193,2920.781,2974,53.218994140625
194,2935.2708,2970,34.729248046875
195,2940.388,2970,29.612060546875
196,2959.3176,2943,-16.317626953125
197,2966.041,2944,-22.041015625
198,2973.9001,2954,-19.900146484375
199,2953.2568,2953,-0.2568359375
200,2944.8218,2904,-40.82177734375
201,2954.1355,2870,-84.135498046875
202,2959.8835,2914,-45.883544921875
203,2922.7637,2903,-19.763671875
204,2883.7786,2870,-13.778564453125
205,2894.7302,2918,23.269775390625
206,2889.3801,2895,5.619873046875
207,2867.0732,2881,13.9267578125
208,2903.273,2902,-1.27294921875
209,2892.7822,2842,-50.7822265625
210,2877.9412,2824,-53.941162109375
211,2897.6667,2808,-89.666748046875
212,2864.6287,2840,-24.628662109375
213,2839.6785,2793,-46.678466796875
214,2809.3098,2782,-27.309814453125
215,2819.4854,2754,-65.4853515625
216,2796.3179,2677,-119.31787109375
217,2767.8972,2708,-59.897216796875
218,2750.348,2661,-89.347900390625
219,2678.4414,2677,-1.44140625
220,2674.615,2656,-18.614990234375
221,2648.839,2656,7.160888671875
222,2642.93,2672,29.070068359375
223,2633.6504,2663,29.349609375
224,2619.7808,2697,77.21923828125
225,2641.244,2678,36.756103515625
226,2643.146,2694,50.85400390625
227,2678.4626,2667,-11.462646484375
228,2690.79,2704,13.2099609375
229,2696.9072,2673,-23.9072265625
230,2693.8516,2710,16.1484375
231,2710.5254,2685,-25.525390625
232,2701.7344,2681,-20.734375
233,2719.769,2650,-69.76904296875
234,2710.3896,2646,-64.3896484375
235,2699.0608,2654,-45.060791015625
236,2671.3574,2623,-48.357421875
237,2657.8784,2611,-46.87841796875
238,2655.1108,2618,-37.11083984375
239,2632.4092,2567,-65.4091796875
240,2607.1917,2474,-133.191650390625
241,2610.657,2491,-119.656982421875
242,2560.8464,2505,-55.846435546875
243,2480.0408,2378,-102.040771484375
244,2463.8826,2407,-56.882568359375
245,2465.68,2411,-54.679931640625
246,2362.7903,2342,-20.790283203125
247,2359.4724,2335,-24.472412109375
248,2357.7148,2342,-15.71484375
249,2291.8853,2262,-29.88525390625
