,processed_data
0,3485
3,3446
4,3492
5,3445
8,3241
9,3257
10,3283
13,3304
14,3246
15,3236
16,3230
19,3259
20,3279
21,3241
24,3202
25,3138
26,3204
29,3193
30,3177
31,3092
32,3037
35,2772
36,2835
37,2856
40,2765
41,2782
42,2808
44,2802
46,2722
47,2677
48,2687
51,2661
52,2656
53,2693
56,2645
57,2650
58,2641
61,2649
62,2571
63,2537
64,2523
67,2374
68,2311
69,2309
72,2121
73,2144
74,2166
77,2167
78,2093
79,2119
82,2116
83,2085
84,2074
85,2059
88,1979
89,1964
90,1958
93,1960
94,1850
95,1842
96,1819
99,1690
100,1665
101,1705
104,1569
105,1560
106,1575
109,1570
110,1447
111,1445
112,1426
115,1331
116,1348
117,1336
120,1224
121,1242
122,1249
125,1250
126,1196
127,1214
128,1224
131,1177
132,1150
133,1156
136,1091
137,1104
138,1082
141,1065
142,978
143,998
144,981
147,938
148,944
149,951
152,899
153,891
154,892
157,902
158,853
159,849
160,843
163,799
164,786
165,786
168,736
169,714
170,723
173,718
174,657
175,645
176,659
179,609
180,587
181,603
184,550
185,538
186,536
189,544
190,508
191,517
192,525
195,502
196,502
197,490
200,442
201,443
202,446
205,453
206,418
207,428
208,415
211,383
212,382
213,389
216,387
217,385
218,386
221,375
222,345
223,356
224,368
226,360
227,366
228,353
231,309
232,314
233,317
236,317
237,292
238,292
239,299
241,306
242,311
243,305
246,286
247,292
248,295
251,299
252,281
253,279
254,278
256,278
257,282
258,272
261,246
262,244
263,243
266,248
267,235
268,235
269,242
272,225
273,224
274,237
276,226
277,217
278,220
281,215
282,195
283,196
284,190
287,178
288,181
289,182
292,179
293,182
294,188
296,188
297,196
298,194
299,192
301,190
302,193
303,193
305,204
306,213
307,203
309,205
310,204
311,199
312,204
314,208
315,203
316,230
318,251
319,248
320,256
322,271
323,281
324,318
325,319
327,326
328,321
329,315
331,320
332,330
333,328
335,345
336,360
337,355
338,386
340,388
341,390
342,400
344,418
345,458
346,476
348,511
349,580
350,620
351,642
353,675
354,745
355,773
357,775
358,825
359,870
361,917
362,937
363,978
364,1073
366,1081
367,1137
368,1202
370,1307
371,1343
372,1373
374,1441
375,1473
376,1545
377,1553
379,1593
380,1662
381,1792
383,1903
384,2028
385,2091
387,2163
388,2297
389,2309
390,2387
392,2446
393,2567
394,2686
396,2862
397,2979
398,3018
400,3107
401,3241
402,3266
403,3257
405,3280
406,3378
407,3469
409,3649
410,3628
411,3637
413,3663
414,3688
415,3662
416,3691
418,3668
419,3670
420,3703
422,3806
423,3843
424,3966
426,4007
427,4041
428,4002
429,4045
431,4069
432,4034
433,4032
435,4131
436,4164
437,4193
439,4291
440,4381
441,4353
442,4262
444,4280
445,4223
446,4380
448,4491
449,4511
450,4459
452,4566
453,4605
454,4566
455,4604
457,4613
458,4629
459,4702
461,4713
462,4583
463,4581
465,4971
466,5133
467,5048
468,4910
470,4837
471,4885
472,4730
474,4653
475,4650
476,4594
478,4624
479,4530
480,4454
481,4444
483,4377
484,4374
485,4290
488,3996
489,3956
490,3945
491,4044
494,3863
495,3879
496,3949
499,3717
500,3892
501,3945
503,3947
504,4034
505,4001
507,4113
508,4114
509,4140
510,4197
512,4198
513,4167
514,4143
517,4102
518,4143
519,4149
521,4323
522,4357
523,4336
524,4288
526,4223
527,4231
528,4259
530,4384
531,4329
532,4290
534,4451
535,4440
536,4354
537,4273
540,4084
541,4151
542,4166
545,4175
546,4203
547,4177
548,4243
550,4274
551,4333
552,4438
554,4492
555,4555
556,4513
558,4561
559,4500
560,4476
563,4463
564,4450
565,4479
566,4433
568,4368
569,4303
570,4294
573,4301
574,4250
575,4243
577,4166
578,4146
579,3986
580,3878
582,3814
583,3776
584,3745
586,3777
587,3670
588,3614
590,3568
591,3543
592,3577
593,3498
596,3237
597,3226
598,3228
601,2903
602,2931
603,2947
606,3031
607,2755
608,2818
609,2876
612,2628
613,2701
614,2739
617,2717
618,2738
619,2999
621,3222
622,3294
623,3372
624,3468
626,3552
627,3569
628,3586
630,3719
631,3748
632,3714
634,3760
635,3807
636,3811
637,3859
639,3939
640,3911
641,3912
643,3871
644,3942
645,3942
647,3912
648,3892
649,3929
650,3920
652,3896
653,3903
654,3901
657,3921
658,3897
659,3920
661,3943
662,3928
663,3963
664,3913
667,3814
668,3799
669,3826
672,3732
673,3714
674,3663
677,3663
678,3556
679,3566
680,3644
683,3632
684,3608
685,3599
688,3610
689,3608
690,3621
693,3597
694,3489
695,3623
696,3609
698,3567
699,3570
700,3619
703,3544
704,3613
705,3621
708,3640
709,3594
710,3436
711,3407
714,3280
715,3291
716,3252
719,3236
720,3282
721,3295
723,3324
724,3286
725,3291
726,3314
729,3257
730,3210
731,3217
734,3222
735,3204
736,3203
738,3452
739,3503
740,3602
741,3619
743,3521
744,3450
745,3334
747,3267
748,3175
749,3169
751,3056
752,3020
753,2995
754,3003
756,2965
757,2949
758,2936
761,2591
762,2617
763,2633
766,2700
767,2406
768,2416
769,2500
772,2386
773,2429
774,2482
776,2497
777,2518
778,2514
781,2516
782,2465
783,2525
784,2524
786,2550
787,2530
788,2538
790,2553
791,2488
792,2493
795,2453
796,2397
797,2380
800,2348
801,2245
802,2220
803,2210
806,2004
807,2024
808,2058
809,2059
812,1995
813,1977
814,1963
817,1787
818,1770
819,1785
822,1788
823,1659
824,1657
827,1650
828,1523
829,1558
830,1589
833,1531
834,1504
835,1525
838,1414
839,1395
840,1427
841,1416
844,1337
845,1351
846,1358
849,1326
850,1309
851,1279
854,1264
855,1200
856,1187
859,1179
860,1113
861,1120
862,1102
865,1008
866,1034
867,1034
870,965
871,965
872,972
875,962
876,923
877,931
878,940
881,906
882,886
883,880
886,799
887,796
888,797
890,782
892,707
893,702
896,690
897,610
898,622
899,648
902,594
903,597
904,605
907,625
908,604
909,603
910,602
913,565
914,574
915,572
918,556
919,557
920,545
923,540
924,509
925,511
926,514
929,491
930,493
931,488
934,476
935,465
936,456
939,450
940,407
941,404
942,390
945,346
946,328
947,348
950,318
951,316
952,345
954,346
955,339
956,353
957,342
960,325
961,319
962,326
965,299
966,302
967,300
970,306
971,287
972,284
973,289
976,277
977,281
978,275
981,268
982,252
983,256
986,249
987,234
988,236
989,230
992,213
993,218
994,226
996,233
997,232
998,237
1000,241
1001,241
1002,243
1003,244
1005,245
1006,242
1007,243
1010,233
1011,233
1012,233
1014,240
1015,245
1016,246
1017,277
1019,297
1020,287
1021,295
1023,306
1024,302
1025,301
1027,304
1028,303
1029,324
1030,353
1032,361
1033,377
1034,382
1036,402
1037,408
1038,425
1040,459
1041,464
1042,487
1043,494
1045,549
1046,526
1047,561
1049,597
1050,595
1051,577
1053,597
1054,649
1055,721
1056,745
1058,773
1059,832
1060,869
1062,819
1063,849
1064,934
1066,924
1067,933
1068,958
1069,963
1071,970
1072,1115
1073,1155
1075,1226
1076,1294
1077,1313
1079,1269
1080,1304
1081,1370
1082,1481
1084,1576
1085,1682
1086,1746
1088,1814
1089,1799
1090,1780
1092,1834
1093,1772
1094,1876
1095,3631
1097,4590
1098,4939
1099,5129
1101,5309
1102,3735
1103,2819
1105,2641
1106,2626
1107,2704
1108,2657
1110,2524
1111,2524
1112,2543
1114,2548
1115,2524
1116,2497
1119,2454
1120,2326
1121,2419
1122,2492
1125,2499
1126,2578
1127,2686
1129,2800
1130,2915
1131,2978
1133,3044
1134,3093
1135,2987
1136,3031
1138,3076
1139,3127
1140,3148
1142,3132
1143,3065
1144,3152
1146,3218
1147,3250
1148,3249
1149,3236
1151,3243
1152,3311
1153,3320
1155,3359
1156,3400
1157,3459
1159,3514
1160,3578
1161,3489
1162,3513
1164,3481
1165,3562
1166,3519
1168,3544
1169,3571
1170,3577
1172,3565
1173,3602
1174,3609
1175,3686
1177,3749
1178,3766
1179,3851
1181,3864
1182,3821
1183,3859
1185,3942
1186,3999
1187,4087
1188,4012
1190,4099
1191,4013
1192,3958
1195,3906
1196,3900
1197,3853
1200,3809
1201,3561
1202,3580
1203,3523
1206,3285
1207,3369
1208,3433
1211,3403
1212,3507
1213,3524
1215,3522
1216,3604
1217,3632
1218,3645
1220,3610
1221,3646
1222,3700
1224,3885
1225,3837
1226,3800
1228,3826
1229,3823
1230,3832
1231,3921
1233,3926
1234,3873
1235,3859
1237,3840
1238,3837
1239,3821
1241,3745
1242,3800
1243,3817
1244,3889
1246,3931
1247,3903
1248,3871
1251,3640
1252,3598
1253,3617
1256,3634
1257,3491
1258,3517
1259,3501
1262,3419
1263,3432
1264,3479
1267,3469
1268,3473
1269,3533
1271,3591
1272,3556
1273,3508
1274,3517
1277,3530
1278,3510
1279,3524
1281,3538
1282,3541
1283,3520
1285,3558
1286,3525
1287,3552
1288,3585
1290,3535
1291,3531
1292,3506
1294,3574
1295,3548
1296,3480
1299,3481
1300,3409
1301,3472
1302,3501
1304,3469
1305,3475
1306,3612
1308,3633
1309,3531
1310,3481
1313,3426
1314,3134
1315,3177
1316,3203
1319,3142
1320,3158
1321,3082
1324,3211
1325,3204
1326,3227
1328,3305
1329,3379
1330,3376
1331,3364
1333,3404
1334,3409
1335,3397
1337,3393
1338,3405
1339,3510
1341,3445
1342,3437
1343,3430
1344,3393
1347,3302
1348,3347
1349,3349
1352,3262
1353,3267
1354,3261
1356,3309
1357,3279
1358,3318
1359,3322
1361,3359
1362,3384
1363,3344
1366,3263
1367,3230
1368,3158
